Alpha;Rho;tMax;MinPath
0;0;100;23
0;0;200;21
0;0;300;23
0;0.1;100;21
0;0.1;200;21
0;0.1;300;23
0;0.2;100;23
0;0.2;200;21
0;0.2;300;21
0;0.3;100;21
0;0.3;200;23
0;0.3;300;21
0;0.4;100;23
0;0.4;200;21
0;0.4;300;23
0;0.5;100;23
0;0.5;200;21
0;0.5;300;23
0;0.6;100;21
0;0.6;200;23
0;0.6;300;21
0;0.7;100;23
0;0.7;200;21
0;0.7;300;23
0;0.8;100;23
0;0.8;200;21
0;0.8;300;21
0;0.9;100;21
0;0.9;200;21
0;0.9;300;21
0;1;100;23
0;1;200;23
0;1;300;21
0.1;0;100;21
0.1;0;200;21
0.1;0;300;23
0.1;0.1;100;23
0.1;0.1;200;21
0.1;0.1;300;21
0.1;0.2;100;23
0.1;0.2;200;21
0.1;0.2;300;21
0.1;0.3;100;23
0.1;0.3;200;21
0.1;0.3;300;21
0.1;0.4;100;23
0.1;0.4;200;23
0.1;0.4;300;23
0.1;0.5;100;23
0.1;0.5;200;21
0.1;0.5;300;23
0.1;0.6;100;23
0.1;0.6;200;23
0.1;0.6;300;21
0.1;0.7;100;21
0.1;0.7;200;23
0.1;0.7;300;21
0.1;0.8;100;24
0.1;0.8;200;21
0.1;0.8;300;21
0.1;0.9;100;21
0.1;0.9;200;21
0.1;0.9;300;23
0.1;1;100;21
0.1;1;200;18
0.1;1;300;21
0.2;0;100;21
0.2;0;200;23
0.2;0;300;21
0.2;0.1;100;21
0.2;0.1;200;21
0.2;0.1;300;21
0.2;0.2;100;23
0.2;0.2;200;21
0.2;0.2;300;23
0.2;0.3;100;23
0.2;0.3;200;23
0.2;0.3;300;23
0.2;0.4;100;23
0.2;0.4;200;21
0.2;0.4;300;21
0.2;0.5;100;23
0.2;0.5;200;21
0.2;0.5;300;21
0.2;0.6;100;23
0.2;0.6;200;23
0.2;0.6;300;23
0.2;0.7;100;23
0.2;0.7;200;23
0.2;0.7;300;21
0.2;0.8;100;23
0.2;0.8;200;21
0.2;0.8;300;21
0.2;0.9;100;23
0.2;0.9;200;21
0.2;0.9;300;21
0.2;1;100;23
0.2;1;200;21
0.2;1;300;21
0.3;0;100;23
0.3;0;200;21
0.3;0;300;21
0.3;0.1;100;21
0.3;0.1;200;23
0.3;0.1;300;23
0.3;0.2;100;21
0.3;0.2;200;23
0.3;0.2;300;21
0.3;0.3;100;24
0.3;0.3;200;21
0.3;0.3;300;21
0.3;0.4;100;23
0.3;0.4;200;21
0.3;0.4;300;23
0.3;0.5;100;21
0.3;0.5;200;21
0.3;0.5;300;18
0.3;0.6;100;21
0.3;0.6;200;23
0.3;0.6;300;21
0.3;0.7;100;21
0.3;0.7;200;21
0.3;0.7;300;21
0.3;0.8;100;21
0.3;0.8;200;21
0.3;0.8;300;21
0.3;0.9;100;23
0.3;0.9;200;21
0.3;0.9;300;21
0.3;1;100;21
0.3;1;200;21
0.3;1;300;21
0.4;0;100;23
0.4;0;200;21
0.4;0;300;21
0.4;0.1;100;23
0.4;0.1;200;21
0.4;0.1;300;21
0.4;0.2;100;21
0.4;0.2;200;21
0.4;0.2;300;23
0.4;0.3;100;21
0.4;0.3;200;23
0.4;0.3;300;21
0.4;0.4;100;21
0.4;0.4;200;21
0.4;0.4;300;21
0.4;0.5;100;23
0.4;0.5;200;21
0.4;0.5;300;21
0.4;0.6;100;21
0.4;0.6;200;23
0.4;0.6;300;23
0.4;0.7;100;21
0.4;0.7;200;21
0.4;0.7;300;21
0.4;0.8;100;21
0.4;0.8;200;21
0.4;0.8;300;21
0.4;0.9;100;21
0.4;0.9;200;21
0.4;0.9;300;21
0.4;1;100;22
0.4;1;200;21
0.4;1;300;21
0.5;0;100;24
0.5;0;200;23
0.5;0;300;21
0.5;0.1;100;23
0.5;0.1;200;23
0.5;0.1;300;21
0.5;0.2;100;24
0.5;0.2;200;23
0.5;0.2;300;21
0.5;0.3;100;23
0.5;0.3;200;23
0.5;0.3;300;21
0.5;0.4;100;21
0.5;0.4;200;21
0.5;0.4;300;21
0.5;0.5;100;23
0.5;0.5;200;21
0.5;0.5;300;21
0.5;0.6;100;23
0.5;0.6;200;21
0.5;0.6;300;21
0.5;0.7;100;21
0.5;0.7;200;21
0.5;0.7;300;21
0.5;0.8;100;21
0.5;0.8;200;21
0.5;0.8;300;21
0.5;0.9;100;21
0.5;0.9;200;21
0.5;0.9;300;23
0.5;1;100;21
0.5;1;200;21
0.5;1;300;21
0.6;0;100;23
0.6;0;200;21
0.6;0;300;21
0.6;0.1;100;21
0.6;0.1;200;23
0.6;0.1;300;21
0.6;0.2;100;21
0.6;0.2;200;21
0.6;0.2;300;21
0.6;0.3;100;23
0.6;0.3;200;21
0.6;0.3;300;23
0.6;0.4;100;21
0.6;0.4;200;23
0.6;0.4;300;21
0.6;0.5;100;24
0.6;0.5;200;23
0.6;0.5;300;23
0.6;0.6;100;21
0.6;0.6;200;23
0.6;0.6;300;21
0.6;0.7;100;23
0.6;0.7;200;21
0.6;0.7;300;21
0.6;0.8;100;23
0.6;0.8;200;21
0.6;0.8;300;21
0.6;0.9;100;21
0.6;0.9;200;23
0.6;0.9;300;21
0.6;1;100;21
0.6;1;200;23
0.6;1;300;21
0.7;0;100;23
0.7;0;200;21
0.7;0;300;23
0.7;0.1;100;23
0.7;0.1;200;21
0.7;0.1;300;23
0.7;0.2;100;23
0.7;0.2;200;21
0.7;0.2;300;23
0.7;0.3;100;23
0.7;0.3;200;21
0.7;0.3;300;21
0.7;0.4;100;23
0.7;0.4;200;23
0.7;0.4;300;21
0.7;0.5;100;23
0.7;0.5;200;23
0.7;0.5;300;21
0.7;0.6;100;23
0.7;0.6;200;21
0.7;0.6;300;21
0.7;0.7;100;21
0.7;0.7;200;21
0.7;0.7;300;21
0.7;0.8;100;21
0.7;0.8;200;23
0.7;0.8;300;21
0.7;0.9;100;23
0.7;0.9;200;21
0.7;0.9;300;21
0.7;1;100;23
0.7;1;200;23
0.7;1;300;21
0.8;0;100;26
0.8;0;200;23
0.8;0;300;21
0.8;0.1;100;25
0.8;0.1;200;23
0.8;0.1;300;21
0.8;0.2;100;23
0.8;0.2;200;21
0.8;0.2;300;21
0.8;0.3;100;23
0.8;0.3;200;21
0.8;0.3;300;21
0.8;0.4;100;23
0.8;0.4;200;23
0.8;0.4;300;21
0.8;0.5;100;23
0.8;0.5;200;23
0.8;0.5;300;23
0.8;0.6;100;24
0.8;0.6;200;23
0.8;0.6;300;21
0.8;0.7;100;23
0.8;0.7;200;21
0.8;0.7;300;21
0.8;0.8;100;23
0.8;0.8;200;23
0.8;0.8;300;23
0.8;0.9;100;23
0.8;0.9;200;23
0.8;0.9;300;21
0.8;1;100;23
0.8;1;200;21
0.8;1;300;24
0.9;0;100;24
0.9;0;200;23
0.9;0;300;23
0.9;0.1;100;23
0.9;0.1;200;23
0.9;0.1;300;21
0.9;0.2;100;23
0.9;0.2;200;23
0.9;0.2;300;23
0.9;0.3;100;24
0.9;0.3;200;23
0.9;0.3;300;23
0.9;0.4;100;26
0.9;0.4;200;24
0.9;0.4;300;21
0.9;0.5;100;23
0.9;0.5;200;23
0.9;0.5;300;24
0.9;0.6;100;23
0.9;0.6;200;21
0.9;0.6;300;23
0.9;0.7;100;24
0.9;0.7;200;23
0.9;0.7;300;23
0.9;0.8;100;23
0.9;0.8;200;23
0.9;0.8;300;23
0.9;0.9;100;24
0.9;0.9;200;21
0.9;0.9;300;23
0.9;1;100;25
0.9;1;200;23
0.9;1;300;21
1;0;100;29
1;0;200;28
1;0;300;24
1;0.1;100;27
1;0.1;200;23
1;0.1;300;23
1;0.2;100;21
1;0.2;200;23
1;0.2;300;23
1;0.3;100;23
1;0.3;200;21
1;0.3;300;23
1;0.4;100;26
1;0.4;200;23
1;0.4;300;23
1;0.5;100;27
1;0.5;200;25
1;0.5;300;24
1;0.6;100;24
1;0.6;200;23
1;0.6;300;23
1;0.7;100;23
1;0.7;200;21
1;0.7;300;25
1;0.8;100;25
1;0.8;200;24
1;0.8;300;24
1;0.9;100;29
1;0.9;200;25
1;0.9;300;24
1;1;100;25
1;1;200;24
1;1;300;25
